title,genre,tags
The Shawshank Redemption,Drama,"prison hope friendship redemption wrongly convicted banker escape drama"
The Godfather,Crime,"mafia family crime power loyalty betrayal don corleone organized crime"
The Dark Knight,Action,"superhero batman joker gotham crime vigilante action thriller"
Pulp Fiction,Crime,"nonlinear crime hitmen gangster dark comedy tarantino violence"
Forrest Gump,Drama,"life journey love history vietnam war simple man destiny drama"
Inception,Sci-Fi,"dream heist mind bending science fiction subconscious action thriller"
The Matrix,Sci-Fi,"virtual reality simulation hacker action science fiction dystopia"
Fight Club,Drama,"identity crisis insomnia underground fight anarchy dark drama"
Interstellar,Sci-Fi,"space time travel wormhole family survival science fiction epic"
Goodfellas,Crime,"mafia gangster crime rise and fall violence mob loyalty"
The Silence of the Lambs,Thriller,"serial killer fbi psychological thriller crime investigation horror"
Se7en,Thriller,"serial killer detective dark crime mystery psychological thriller"
The Lord of the Rings: The Fellowship of the Ring,Fantasy,"epic quest fantasy magic ring middle earth adventure hobbit"
The Lord of the Rings: The Two Towers,Fantasy,"epic quest fantasy magic war middle earth adventure battle"
The Lord of the Rings: The Return of the King,Fantasy,"epic quest fantasy magic war middle earth adventure finale"
Star Wars: A New Hope,Sci-Fi,"space opera rebellion empire jedi lightsaber adventure science fiction"
Star Wars: The Empire Strikes Back,Sci-Fi,"space opera rebellion empire jedi lightsaber adventure darker"
Titanic,Romance,"love tragedy ship disaster historical romance drama iceberg"
Avatar,Sci-Fi,"alien planet nature war science fiction action adventure pandora"
Gladiator,Action,"roman empire revenge arena warrior action historical drama"
Braveheart,Action,"scotland rebellion war historical epic freedom warrior drama"
Saving Private Ryan,War,"world war two soldiers rescue mission historical drama action"
Schindler's List,Drama,"world war two holocaust history rescue drama historical biography"
The Green Mile,Fantasy,"prison supernatural magic death row drama emotional"
The Departed,Crime,"undercover cop mafia crime boston betrayal thriller"
The Prestige,Mystery,"magicians rivalry illusion mystery thriller obsession"
Memento,Mystery,"amnesia revenge nonlinear mystery thriller psychological"
The Usual Suspects,Mystery,"crime heist twist mystery thriller criminal conspiracy"
American History X,Drama,"racism redemption crime drama neo nazi family"
Whiplash,Drama,"music drummer obsession mentor drama ambition jazz"
La La Land,Musical,"romance musical hollywood dreams jazz love drama"
The Grand Budapest Hotel,Comedy,"quirky hotel concierge comedy adventure wes anderson caper"
Django Unchained,Western,"slavery revenge bounty hunter western tarantino violence"
Inglourious Basterds,War,"world war two nazis revenge tarantino war violence"
Kill Bill: Vol. 1,Action,"revenge assassin martial arts action tarantino sword fight"
The Wolf of Wall Street,Biography,"stock broker greed wall street crime biography comedy drama"
Joker,Drama,"mental illness clown crime origin story gotham dark drama"
Parasite,Thriller,"class struggle family social satire thriller dark comedy korean"
Get Out,Horror,"racism hypnosis horror social thriller mystery"
A Quiet Place,Horror,"monsters silence survival horror family thriller"
Hereditary,Horror,"family curse supernatural horror occult psychological"
The Conjuring,Horror,"haunted house demons paranormal horror investigation"
It,Horror,"clown children horror supernatural stephen king fear"
The Shining,Horror,"haunted hotel madness horror stephen king psychological"
Jaws,Thriller,"shark ocean survival thriller horror adventure classic"
Alien,Sci-Fi,"space horror monster survival science fiction thriller"
Aliens,Sci-Fi,"space marines monster survival science fiction action"
Blade Runner,Sci-Fi,"dystopia android detective science fiction noir future"
Blade Runner 2049,Sci-Fi,"dystopia android detective science fiction noir future sequel"
E.T. the Extra-Terrestrial,Family,"alien friendship childhood adventure family science fiction"
Back to the Future,Sci-Fi,"time travel comedy adventure science fiction delorean"
Jurassic Park,Adventure,"dinosaurs theme park science fiction adventure thriller"
The Lion King,Animation,"animal kingdom family coming of age animation musical drama"
Toy Story,Animation,"toys friendship adventure animation family comedy"
Finding Nemo,Animation,"fish ocean family adventure animation comedy"
Shrek,Animation,"ogre fairy tale comedy animation adventure family"
Up,Animation,"adventure balloon house family animation emotional"
Coco,Animation,"family music mexico animation afterlife adventure"
Inside Out,Animation,"emotions mind childhood animation family comedy"
Frozen,Animation,"sisters ice kingdom animation musical family"
